,year,bkvlps,epspx,cik,Centrality_Degree,Centrality_Closeness,Centrality_Betweenness,Centrality_Eigenvector,sector,subsector,industry_group
0,2010,21.0112,1.85,1750.0,0.007715624138881235,0.1505748610646148,0.010962048676994301,0.0003137542611202027,42,423,4238
1,2011,21.4697,1.68,1750.0,0.008551724137931035,0.15427279341803327,0.013296874961929998,0.00023358756817254775,42,423,4238
2,2012,23.3254,1.38,1750.0,0.00836481381543443,0.1506052225247572,0.009238260309210993,0.00019891158430494933,42,423,4238
3,2013,25.2654,1.85,1750.0,0.009744535159336319,0.15984026133886578,0.017835244516231738,0.00035615540346525126,42,423,4238
4,2014,23.8574,-1.4,1750.0,0.009936305732484076,0.16621450497766038,0.018388670682005715,0.0014760380107122848,42,423,4238
5,2015,25.0847,1.16,1750.0,0.009945300845350571,0.1791906772302593,0.023684725373422495,0.011779357135674766,42,423,4238
6,2016,26.6112,1.47,1750.0,0.011340725806451613,0.1822279840452825,0.031939921105084104,0.021193985124954188,42,423,4238
7,2017,26.9703,2.14,1750.0,0.008341759352881698,0.17890886088940194,0.02314537199764848,0.01834397073890006,42,423,4238
8,2018,26.0406,2.42,1750.0,0.0062782521346057265,0.17266942047745815,0.010795956146843777,0.01899846007261854,42,423,4238
9,2019,25.7173,0.71,1750.0,0.007014028056112224,0.17031757446577234,0.012383927634699247,0.01762296057012834,42,423,4238
10,2020,27.5449,1.31,1750.0,0.0068867252434101165,0.16166195120414986,0.011920800599444824,0.015090733719073709,42,423,4238
11,2021,29.2306,2.19,1750.0,0.006974128233970753,0.1723659217537358,0.010618246164655214,0.001386583591600001,42,423,4238
12,2022,31.4784,2.55,1750.0,0.007693907257226035,0.16775245454286314,0.011292349735991091,0.005990240665244396,42,423,4238
13,2010,2.4565,0.16,3197.0,0.0005511160099200882,0.0005511160099200882,0.0,-2.4358161073680214e-19,33,333,3334
14,2011,2.9616,0.58,3197.0,0.0008275862068965517,0.0005517241379310345,7.612087995737231e-08,-8.020857384504296e-18,33,333,3334
15,2012,3.6555,0.73,3197.0,0.0013491635186184566,0.0008094981111710739,2.9131735894595553e-07,7.776679781993123e-19,33,333,3334
16,2013,6.6599,0.33,3197.0,0.0013168290755859891,0.0007900974453515934,2.775192993858775e-07,2.3059536712633136e-18,33,333,3334
17,2014,6.8993,0.51,3197.0,0.0005095541401273885,0.00025477707006369424,0.0,-5.997284800513102e-18,33,333,3334
18,2015,7.0509,-0.19,3197.0,0.000994530084535057,0.12289434569417056,0.0002844698250130013,4.658594706021687e-05,33,333,3334
19,2016,5.5641,-1.12,3197.0,0.0005040322580645161,0.12096907712027344,0.0,1.4892145573925096e-05,33,333,3334
20,2017,5.3968,-0.09,3197.0,0.0005055611729019212,0.11654248764662592,0.0,2.035012668012168e-05,33,333,3334
21,2018,5.1287,-0.21,3197.0,0.0015067805123053744,0.14250387086035327,0.0011089009538726975,0.0008252968466023376,33,333,3334
22,2019,5.4933,0.51,3197.0,0.001002004008016032,0.13823710690273341,0.00041187360940874487,0.0008189321738833825,33,333,3334
23,2020,5.7301,0.23,3197.0,0.0007124198527665638,0.12844024341598442,0.000206111016786146,3.7414859796824515e-05,33,333,3334
24,2021,5.8397,0.04,3197.0,0.0017997750281214847,0.1449209297629511,0.0010036856806329463,9.883770248560452e-05,33,333,3334
25,2022,6.2016,0.5,3197.0,0.003119151590767311,0.14794321598066654,0.002834250199301121,0.0022945464474193127,33,333,3334
26,2023,6.6784,0.37,3197.0,0.004151190736290146,0.15597396743080372,0.007094417391456568,0.0038490859858777713,33,333,3334
27,2010,12.2294,1.46,1808834.0,0.006613392119041059,0.1444008026472468,0.005694939591753697,0.00024902526716521963,52,522,5222
28,2011,12.9105,1.46,1808834.0,0.006620689655172414,0.15077081282135435,0.007364116410805534,0.0001902994103832803,52,522,5222
29,2012,15.0043,2.28,1808834.0,0.005396654074473826,0.14584854247248,0.0034124573922379043,6.345394026833391e-05,52,522,5222
30,2013,15.6251,1.59,1808834.0,0.0052673163023439565,0.1516424956721008,0.0049236266144060525,0.0006903415525804854,52,522,5222
31,2014,16.8789,1.08,1808834.0,0.0058598726114649675,0.15931450229825003,0.005226894734909345,0.0016920878361507022,52,522,5222
